ppp_country,Match,Not in Overton,Total from PPP,Match_Percentage,Total from Overton
Austria,4,5,9,44.44,645.0
Belgium,11,14,25,44.0,440.0
Bulgaria,9,4,13,69.23,341.0
Croatia,3,6,9,33.33,109.0
Cyprus,5,11,16,31.25,133.0
Czech Republic,6,8,14,42.86,72.0
Denmark,4,7,11,36.36,243.0
Estonia,8,16,24,33.33,602.0
Finland,5,19,24,20.83,1062.0
France,3,18,21,14.29,325.0
Germany,24,42,66,36.36,1019.0
Greece,11,6,17,64.71,137.0
Hungary,3,6,9,33.33,118.0
Ireland,21,14,35,60.0,4373.0
Italy,22,9,31,70.97,227.0
Latvia,8,9,17,47.06,630.0
Lithuania,3,13,16,18.75,10.0
Luxembourg,2,7,9,22.22,12.0
Malta,2,1,3,66.67,5.0
Netherlands,14,13,27,51.85,656.0
Poland,3,14,17,17.65,100.0
Portugal,4,6,10,40.0,157.0
Romania,8,7,15,53.33,219.0
Slovakia,6,24,30,20.0,179.0
Slovenia,2,7,9,22.22,92.0
Spain,17,5,22,77.27,1205.0
Sweden,7,6,13,53.85,2120.0
United Kingdom,20,9,29,68.97,16944.0
